Driver,n_team_pairs,mean_similarity,median_similarity,max_similarity,mean_distance,median_distance,case_type
OCO,10,0.6638848295312584,0.6478278795071761,0.9195504806558058,0.3361151704687416,0.3521721204928239,mocny przykład
GAS,6,0.6311896637448857,0.6343725380615656,0.6678128982158249,0.3688103362551143,0.3656274619384344,mocny przykład
ALO,3,0.5637794832438409,0.5843320792005572,0.608818582460027,0.4362205167561591,0.4156679207994428,mocny przykład
RIC,10,0.4518002150654096,0.5284087936445663,0.6510237385759502,0.5481997849345903,0.4715912063554338,częściowy przykład
SAI,6,0.186485887615347,0.3446132688228008,0.5675538216532745,0.8135141123846529,0.6553867311771991,kontrprzykład
BOT,3,0.3288745038715643,0.1072913292607815,0.9030672796550608,0.6711254961284358,0.8927086707392184,kontrprzykład
