lap_key,season,round,Driver,LapNumber,Team,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Compound,TyreLife,n_samples,speed_mean,speed_std,speed_min,speed_max,speed_median,speed_range,throttle_mean,throttle_std,throttle_min,throttle_max,throttle_median,brake_mean,brake_std,brake_min,brake_max,brake_median,rpm_mean,rpm_std,rpm_min,rpm_max,rpm_median,gear_mean,gear_std,gear_min,gear_max,gear_median,throttle_zero_frac,throttle_low_frac,throttle_mid_frac,throttle_high_frac,throttle_full_frac,brake_active_frac,brake_hard_frac,drs_active_frac,first_brake_frac_pos,last_brake_frac_pos,first_full_throttle_frac_pos,last_full_throttle_frac_pos,gear_change_count,brake_on_count,drs_toggle_count,speed_diff_mean,speed_diff_std,speed_diff_abs_mean,speed_diff_abs_max,throttle_diff_mean,throttle_diff_std,throttle_diff_abs_mean,throttle_diff_abs_max,brake_diff_mean,brake_diff_std,brake_diff_abs_mean,brake_diff_abs_max,rpm_diff_mean,rpm_diff_std,rpm_diff_abs_mean,rpm_diff_abs_max,speed_cv,rpm_cv,sector_sum_seconds,sector1_share,sector2_share,sector3_share,speed_p10,speed_p25,speed_p75,speed_p90,throttle_p10,throttle_p25,throttle_p75,throttle_p90,brake_p90
2023_1_ALB_5.0,2023,1,ALB,5.0,Williams,91.461,29.25,39.224,22.987,SOFT,2.0,351,213.13960113960113,70.46697624813159,67.0,324.0,224.0,257.0,69.05413105413105,41.86085698085202,0.0,100.0,100.0,0.19373219373219372,0.3957856953533271,0.0,1.0,0.0,10212.438746438747,1653.1985728391135,4759.0,12438.0,10820.0,5.655270655270655,1.7834859519553667,3,8,6.0,0.21367521367521367,0.23646723646723647,0.14814814814814814,0.6153846153846154,0.5783475783475783,0.19373219373219372,0.0,1.0,0.07122507122507123,0.905982905982906,0.0,0.9971509971509972,46,17,1,-0.008571428571428572,12.297293280315955,7.591428571428572,87.0,0.0,16.184466711965406,4.714285714285714,100.0,0.0,0.2141150910288757,0.045714285714285714,1.0,-0.3142857142857143,503.4053816809692,358.29714285714283,1877.0,0.3306141884068624,0.16188088015858232,91.46099999999998,0.3198084429428937,0.4288603885809252,0.2513311684761811,107.0,157.0,270.0,301.0,0.0,28.5,100.0,100.0,1.0
2023_1_ALO_14.0,2023,1,ALO,14.0,Aston Martin,90.336,28.852,38.774,22.71,SOFT,2.0,343,215.04373177842567,68.96669134218402,61.0,319.0,230.0,258.0,73.44897959183673,38.85754674466985,0.0,100.0,99.0,0.15160349854227406,0.35916007473822875,0.0,1.0,0.0,10253.842565597668,1424.805713131154,5358.0,12089.0,10711.0,5.696793002915452,1.9044933573669904,2,8,6.0,0.17201166180758018,0.18075801749271136,0.16034985422740525,0.6588921282798834,0.6326530612244898,0.15160349854227406,0.0,1.0,0.07871720116618076,0.8979591836734694,0.0,0.9970845481049563,53,17,1,-0.014619883040935672,11.62524895209543,7.4298245614035086,56.0,0.0,16.4268573448709,4.777777777777778,99.0,0.0,0.21661214442955293,0.04678362573099415,1.0,-0.6637426900584795,479.9188724525196,335.6812865497076,1940.0,0.32071007497788934,0.13895334397969725,90.33600000000001,0.3193854055968828,0.4292198016294722,0.25139479277364507,104.60000000000001,166.5,269.0,295.0,0.0,51.5,99.0,99.0,1.0
2023_1_BOT_11.0,2023,1,BOT,11.0,Alfa Romeo,91.443,29.235,39.327,22.881,SOFT,5.0,347,212.95965417867436,68.96961371549817,69.0,320.0,228.0,251.0,72.5821325648415,41.11046760721786,0.0,100.0,100.0,0.1873198847262248,0.3907315189761046,0.0,1.0,0.0,10179.440922190202,1635.1361078371747,4961.0,12070.0,10810.0,5.593659942363113,1.610753290073695,3,8,6.0,0.1988472622478386,0.21613832853025935,0.11239193083573487,0.6714697406340058,0.6340057636887608,0.1873198847262248,0.0,1.0,0.07780979827089338,0.9048991354466859,0.0,0.9971181556195965,40,17,1,-0.031791907514450865,11.802806137600896,7.320809248554913,71.0,0.0,15.349267083479914,4.635838150289017,100.0,0.0,0.2153527608232662,0.046242774566473986,1.0,-1.2196531791907514,505.8405182204195,351.8728323699422,2108.0,0.32386234839408723,0.16063122919380918,91.443,0.3197073586824579,0.43007119189002985,0.25022144942751223,106.6,160.0,269.0,294.0,0.0,42.0,100.0,100.0,1.0
2023_1_DEV_5.0,2023,1,DEV,5.0,AlphaTauri,92.121,29.382,39.634,23.105,SOFT,2.0,352,209.82954545454547,70.57976782338991,63.0,318.0,222.0,255.0,71.4375,41.3343198462367,0.0,100.0,100.0,0.22727272727272727,0.41966674411987437,0.0,1.0,0.0,10389.178977272728,1487.3320171130033,5298.0,12519.0,10903.5,5.2102272727272725,1.9629351691063253,2,8,5.0,0.21875,0.22727272727272727,0.1278409090909091,0.6448863636363636,0.5994318181818182,0.22727272727272727,0.0,1.0,0.05397727272727273,0.9318181818181818,0.0,0.9971590909090909,48,25,1,-0.005698005698005698,11.793701539864234,7.481481481481482,59.0,0.0,16.20775828334778,4.763532763532764,100.0,0.0,0.26186146828319085,0.06837606837606838,1.0,-0.3333333333333333,566.4773554924453,413.0569800569801,2101.0,0.33636715778274096,0.14316165121100302,92.12100000000001,0.3189500765297815,0.43023849068073516,0.2508114327894834,103.1,154.75,267.25,295.0,0.0,44.5,100.0,100.0,1.0
2023_1_GAS_5.0,2023,1,GAS,5.0,Alpine,91.818,29.247,39.412,23.159,SOFT,2.0,358,211.56983240223462,68.82152768430068,67.0,323.0,222.0,256.0,70.40782122905028,42.03141609150264,0.0,100.0,100.0,0.18435754189944134,0.3883182234637628,0.0,1.0,0.0,10560.435754189944,1206.8391314248247,5630.0,12231.0,10899.0,4.9525139664804465,1.819742907804471,2,8,5.0,0.22346368715083798,0.2430167597765363,0.12011173184357542,0.6368715083798883,0.5893854748603352,0.18435754189944134,0.0,1.0,0.07262569832402235,0.9078212290502793,0.0,0.9972067039106145,54,17,1,-0.014005602240896359,10.733352666892047,7.162464985994398,50.0,0.0,16.760708466965433,4.918767507002801,100.0,0.0,0.211999576001272,0.04481792717086835,1.0,-0.5518207282913166,530.7802617011707,384.2156862745098,1791.0,0.32528989082648524,0.11427929296819034,91.81799999999998,0.3185323139253741,0.42924045394149296,0.2522272321331329,109.4,159.25,266.75,296.3,0.0,29.25,100.0,100.0,1.0
2023_1_HAM_14.0,2023,1,HAM,14.0,Mercedes,90.384,28.939,38.829,22.616,SOFT,2.0,333,213.55555555555554,68.84512525773833,70.0,321.0,223.0,251.0,71.06906906906907,41.567459013386326,0.0,100.0,100.0,0.1921921921921922,0.39461625289296975,0.0,1.0,0.0,10422.51951951952,1474.9385071142606,5452.0,12343.0,10948.0,5.603603603603603,1.9072433867685887,2,8,6.0,0.2012012012012012,0.23723723723723725,0.1111111111111111,0.6516516516516516,0.6006006006006006,0.1921921921921922,0.0,1.0,0.07807807807807808,0.9009009009009009,0.0,0.996996996996997,52,17,1,-0.02108433734939759,12.076650013883006,7.822289156626506,74.0,0.0,15.137237253264924,4.885542168674699,100.0,0.0,0.2198598839717251,0.04819277108433735,1.0,-0.7409638554216867,521.592216439651,378.50602409638554,1646.0,0.3223757166075156,0.14151458333582048,90.384,0.3201783501504691,0.4296003717472119,0.250221278102319,112.4,160.0,269.0,300.0,0.0,34.0,100.0,100.0,1.0
2023_1_HUL_13.0,2023,1,HUL,13.0,Haas F1 Team,90.809,29.042,38.957,22.81,SOFT,2.0,346,215.63005780346822,68.00282703839628,67.0,322.0,228.5,255.0,71.6907514450867,41.297854469469954,0.0,100.0,99.0,0.18786127167630057,0.3911670288595192,0.0,1.0,0.0,10359.251445086706,1468.6796921185314,5796.0,12215.0,10843.5,5.583815028901734,1.7312719326601917,2,8,6.0,0.1994219653179191,0.2254335260115607,0.10982658959537572,0.6647398843930635,0.6416184971098265,0.18786127167630057,0.0,1.0,0.07803468208092486,0.8959537572254336,0.0,0.9971098265895953,47,17,1,-0.008695652173913044,11.275226743587575,7.550724637681159,57.0,0.0,16.092754400227655,4.701449275362319,99.0,0.0,0.21566554640687682,0.0463768115942029,1.0,3.028985507246377,513.740024828596,362.5304347826087,1835.0,0.3153680323193908,0.1417746928823812,90.809,0.31981411534099047,0.42899932826041476,0.25118655639859483,120.0,163.25,269.75,299.0,0.0,35.5,100.0,100.0,1.0
2023_1_LEC_16.0,2023,1,LEC,16.0,Ferrari,90.0,28.825,38.614,22.561,SOFT,2.0,342,215.2719298245614,71.23678476047135,63.0,325.0,230.5,262.0,73.41520467836257,38.5642260850091,0.0,100.0,99.0,0.18421052631578946,0.3882237799894312,0.0,1.0,0.0,10325.558479532163,1409.3247320551898,5314.0,12077.0,10755.5,5.526315789473684,1.856480413206128,2,8,6.0,0.06140350877192982,0.19298245614035087,0.14035087719298245,0.6666666666666666,0.6198830409356725,0.18421052631578946,0.0,1.0,0.07309941520467836,0.9035087719298246,0.0,0.9970760233918129,48,19,1,-0.011730205278592375,12.398049310414411,7.571847507331379,98.0,0.0,14.219084110489552,4.7272727272727275,96.0,0.0,0.23008949665421113,0.05278592375366569,1.0,-0.21407624633431085,508.520476111637,361.4574780058651,1924.0,0.33091534422777125,0.136488959396126,90.0,0.3202777777777778,0.4290444444444444,0.2506777777777778,103.30000000000001,160.0,270.0,300.0,2.1000000000000014,49.25,99.0,100.0,1.0
2023_1_MAG_5.0,2023,1,MAG,5.0,Haas F1 Team,91.892,29.428,39.369,23.095,SOFT,2.0,354,212.2316384180791,69.13076260935533,67.0,322.0,223.0,255.0,71.00847457627118,41.39565791904198,0.0,100.0,100.0,0.20056497175141244,0.4009898764754977,0.0,1.0,0.0,10273.906779661016,1340.8018275869188,5729.0,11849.0,10682.0,5.446327683615819,1.7824134782180676,2,8,6.0,0.2062146892655367,0.2231638418079096,0.14689265536723164,0.6299435028248588,0.6073446327683616,0.20056497175141244,0.0,1.0,0.07344632768361582,0.9067796610169492,0.0,0.9971751412429378,50,17,1,-0.0028328611898017,12.0674003431977,7.385269121813031,109.0,0.0,16.32030247045908,4.8215297450424925,100.0,0.0,0.21320071635561044,0.0453257790368272,1.0,0.7847025495750708,504.68113143292186,362.4617563739377,2444.0,0.32573259634915197,0.13050554733874645,91.892,0.32024550559352283,0.42842684890958954,0.25132764549688763,110.20000000000002,160.25,270.0,298.4,0.0,37.5,100.0,100.0,1.0
2023_1_NOR_12.0,2023,1,NOR,12.0,McLaren,91.381,29.235,39.21,22.936,SOFT,2.0,347,212.985590778098,68.41346012210094,67.0,321.0,226.0,254.0,71.37463976945244,41.168036342186554,0.0,100.0,100.0,0.19020172910662825,0.39302695887384853,0.0,1.0,0.0,10499.887608069164,1220.2363679590635,5770.0,12290.0,10872.0,5.285302593659942,1.8768093722413945,2,8,6.0,0.19596541786743515,0.21902017291066284,0.12968299711815562,0.6512968299711815,0.6080691642651297,0.19020172910662825,0.0,1.0,0.07780979827089338,0.9048991354466859,0.0,0.9971181556195965,49,17,1,-0.017341040462427744,11.631528362166168,7.4508670520231215,64.0,0.0,15.713190249789728,4.878612716763006,100.0,0.0,0.2153527608232662,0.046242774566473986,1.0,3.1560693641618496,536.7895373941352,374.0115606936416,2363.0,0.321211683251279,0.11621423138103991,91.381,0.3199242730983465,0.42908263205699215,0.25099309484466137,113.80000000000001,159.5,266.5,294.40000000000003,0.0,37.0,100.0,100.0,1.0
